当前排名,代码,股票名称,最新价,涨跌额,涨跌幅
57,SH605162,新中港,8.56,0.8585679999999999,10.03
58,SH600577,精达股份,5.14,0.30737200000000003,5.98
59,SZ000801,四川九洲,13.11,1.1300819999999998,8.62
60,SH601818,光大银行,3.12,-0.22276800000000002,-7.14
61,SZ301536,N星宸,48.1,95.06965,197.65
62,SH603580,艾艾精工,29.29,-0.5506519999999999,-1.88
63,SZ002217,合力泰,1.99,0.197806,9.94
64,SZ002829,星网宇达,24.37,2.441874,10.02
65,SZ000701,厦门信达,4.79,0.48426899999999995,10.11
66,SH603259,药明康德,47.03,0.456191,0.97
67,SZ300965,恒宇信通,40.63,8.121937,19.99
68,SH603357,设计总院,9.91,0.990009,9.99
69,SH600506,统一股份,14.18,1.419418,10.01
70,SZ002769,普路通,7.59,0.759,10.0
71,SZ000063,中兴通讯,27.45,1.3642649999999998,4.97
72,SZ300719,安达维尔,14.34,2.683014,18.71
73,SH601127,赛力斯,90.7,1.22445,1.35
74,SH603533,掌阅科技,29.42,0.497198,1.69
75,SZ002792,通宇通讯,16.28,1.6280000000000001,10.0
76,SH600990,四创电子,18.06,1.8041939999999999,9.99
77,SZ300133,华策影视,9.44,0.16236799999999998,1.72
78,SH600584,长电科技,29.03,-0.078381,-0.27
79,SH603058,永吉股份,8.12,0.8144359999999999,10.03
80,SZ002565,顺灏股份,3.16,0.31916,10.1
81,SH605118,力鼎光电,19.18,1.9141640000000002,9.98
82,SZ300989,蕾奥规划,18.74,3.7423779999999995,19.97
83,SZ002963,豪尔赛,12.22,1.2207780000000001,9.99
84,SH603626,科森科技,8.51,0.131905,1.55
85,SZ002957,科瑞技术,17.34,-0.284376,-1.64
86,SZ300059,东方财富,12.88,0.09016,0.7
87,SZ002708,光洋股份,10.71,0.7604099999999999,7.1
88,SZ002999,天禾股份,6.75,0.6702750000000001,9.93
89,SZ002405,四维图新,8.84,0.609076,6.89
90,SH603037,凯众股份,25.37,0.35518,1.4
91,SZ300777,中简科技,31.71,5.029205999999999,15.86
92,SZ300889,爱克股份,13.32,2.6639999999999997,20.0
93,SH603967,中创物流,9.34,0.9349339999999999,10.01
94,SZ002151,北斗星通,32.28,2.475876,7.67
95,SZ000415,渤海租赁,2.26,0.231424,10.24
96,SZ301329,信音电子,20.34,4.0680000000000005,20.0
97,SZ300900,广联航空,29.18,4.199002,14.39
98,SZ300053,航宇微,12.45,1.3159649999999998,10.57
99,SZ002636,金安国纪,7.45,0.74798,10.04
100,SZ300067,安诺其,5.39,0.563255,10.45
